arise	arose	arisen	surgir
awake	awoke	awoken	despertarse
be	was/were	been	ser, estar
bear	bore	born	soportar
beat	beat	beaten	golpear
become	became	become	llegar a ser
begin	began	begun	empezar
bend	bent	bent	doblar
bet	bet	bet	apostar
bind	bound	bound	vendar
bite	bit	bitten	morder
bleed	bled	bled	sangrar
blow	blew	blown	soplar
break	broke	broken	romper
bring	brought	brought	traer
broadcast	broadcast	broadcast	emitir
build	built	built	construir
buy	bought	bought	comprar
cast	cast	cast	echar
catch	caught	caught	coger
choose	chose	chosen	elegir
cling	clung	clung	aferrarse
come	came	come	venir
cost	cost	cost	costar
creep	crept	crept	deslizarse
cut	cut	cut	cortar
deal	dealt	dealt	tratar
dig	dug	dug	cavar
do	did	done	hacer
draw	drew	drawn	dibujar
dream	dreamt	dreamt	soñar
drink	drank	drunk	beber
drive	drove	driven	conducir
eat	ate	eaten	comer
fall	fell	fallen	caer
feed	fed	fed	alimentar
feel	felt	felt	sentir
fight	fought	fought	luchar
find	found	found	encontrar
fit	fit	fit	encajar, ajustar
flee	fled	fled	huir
fly	flew	flown	volar
forbid	forbade	forbidden	prohibir
forecast	forecast	forecast	predecir
forget	forgot	forgotten	olvidar
freeze	froze	frozen	helar
get	got	got	obtener
give	gave	given	dar
go	went	gone	ir
grow	grew	grown	crecer
hang	hung	hung	colgar
have	had	had	tener
hear	heard	heard	oir
hide	hid	hidden	ocultar
hit	hit	hit	golpear
hold	held	held	sostener, coger
hurt	hurt	hurt	herir
keep	kept	kept	guardar
kneel	knelt	knelt	arrodillarse
knit	knit	knit	tejer
know	knew	known	saber
lay	laid	laid	colocar, poner
lead	led	led	guiar, llevar
lend	lent	lent	prestar
let	let	let	dejar
lie	lay	lain	estar tumbado
light	lit	lit	encender
loose	lost	lost	perder
make	made	made	hacer, fabricar
mean	meant	meant	significar
meet	met	met	conocer
mow	mowed	mown	segar
pay	paid	paid	pagar
prove	proved	proved	probar
put	put	put	poner
quit	quit	quit	dejar
read	read	read	leer
ride	rode	ridden	montar
rise	rose	risen	levantarse
run	ran	run	correr
say	said	said	decir
see	saw	seen	ver
seek	sought	sought	buscar
sell	sold	sold	vender
send	sent	sent	enviar
set	set	set	poner
sew	sewd	sewn	coser
shake	shook	shaken	agitar
shed	shed	shed	verter, derramar
shine	shone	shone	brillar
shoot	shot	shot	disparar
show	showed	shown	mostrar
shrink	shrank	shrunk	encogerse
shut	shut	shut	cerrar
sing	sang	sung	cantar
sink	sank	sunk	hundirse
sit	sat	sat	sentarse
sleep	slept	slept	dormir
slide	slid	slid	resbalarse
sling	slung	slung	tirar, arrojar
smell	smelt	smelt	oler
sow	sowed	sown	sembrar
speak	spoke	spoken	hablar
speed	sped	sped	conducir a mucha velocidad
spell	spelt	spelt	deletrear
spend	spent	spent	gastar, pasar tiempo
spin	spun	spun	girar
spit	spit	spit	escupir
split	split	split	dividir
spoil	spoilt	spoilt	estropear
spread	spread	spread	extender, untar
spring	sprang	sprung	brotar, nacer
stand	stood	stood	estar de pie
steal	stole	stolen	robar
stick	stuck	stuck	pegar, encajarse
stink	stank	stunk	apestar
strike	struck	struck	golpear
sting	stung	stung	picar(insecto)
strive	strove	striven	esforzarse, luchar
swear	swore	sworn	jurar
sweep	swept	swept	barrer
swell	swelled	swollen	hincharse
swim	swam	swum	nadar
swing	swung	swung	balancear
take	took	taken	coger
teach	taught	taught	enseñar
tear	tore	torn	rasgar
tell	told	told	decir
think	thought	thought	pensar
throw	threw	thrown	lanzar
thrust	thrust	thrust	empujar
tread	trod	trodden	pisar
understand	understood	understood	comprender
wake	woke	woken	despertarse
wear	wore	worn	llevar puesto
weave	wove	woven	tejer
weep	wept	wept	llorar
wet	wet	wet	mojar
win	won	won	ganar
wind	wound	wound	enrollar, dar cuerda
wring	wrung	wrung	torcer, retorcer
write	wrote	written	escribir
